SHAP_Rank,Feature,Electrode,Region,Lobe,Hemisphere,Feature_Type,Mean_abs_SHAP,Mean_signed_SHAP,MDD_median,MDD_IQR,HC_median,HC_IQR,U_statistic,p_value,p_FDR,Significant_FDR_0.05,r_rb,Effect_size,Direction,Candidate_Biomarker,MDD_Shapiro_p,HC_Shapiro_p,Any_NonNormal,Scalp
18,Beta_Band_psd_mean_15,T6,Temporo-parietal,Temporal,Right,Beta_Band_psd_mean,0.00983967277589789,-0.0004107513041462333,1.001452583,0.735487406,0.660055777,0.464348066,1395.0,0.0032049255133910397,0.0066245300727762685,True,0.36097560975609766,Medium,Higher in MDD,True,0.0007222105822601361,0.0003885203486939048,True,Right posterior temporal scalp
6,Alpha_Band_psd_mean_14,T4,Temporal,Temporal,Right,Alpha_Band_psd_mean,0.015997446882339308,0.0010848620474783427,2.7497841574999997,5.1466910935,1.976056266,1.749340341,1381.0,0.0045726215901381855,0.007034802446366439,True,0.3473170731707318,Medium,Higher in MDD,True,7.611737436864126e-05,4.3253076041175514e-05,True,Right mid-temporal scalp
9,Hjorth_Complexity_11,P4,Parietal,Parietal,Right,Hjorth_Complexity,0.015064031875657143,0.001970898324977647,0.7378826089999999,0.19496584674999995,0.833759749,0.16752723000000003,668.0,0.004459710439130105,0.007034802446366439,True,-0.34829268292682924,Medium,Higher in HC,True,0.051245475721932346,0.15488766825380995,False,Right parietal scalp
10,Wavelet_Energy_14,T4,Temporal,Temporal,Right,Wavelet_Energy,0.014700377596777737,-0.00011949192372014505,2956105.109,2484102.573,1957749.424,1644882.6469999999,1378.0,0.0049270605506722565,0.0070386579295317955,True,0.3443902439024391,Medium,Higher in MDD,True,0.06500118877782472,0.01998537429253382,True,Right mid-temporal scalp
3,Alpha_Band_psd_mean_1,F3,Frontal,Frontal,Left,Alpha_Band_psd_mean,0.023179494427401217,0.0012983042412509855,0.6071684035,0.9222964720000001,0.39827069,0.33274366499999997,1371.0,0.005852592012790446,0.007803456017053928,True,0.3375609756097562,Medium,Higher in MDD,True,3.941196877145787e-07,0.01435131848145132,True,Left frontal scalp
14,Beta_Band_psd_mean_4,O1,Occipital,Occipital,Left,Beta_Band_psd_mean,0.012680020242064948,0.00145602819696573,1.080157915,0.9735183864999999,0.744210669,0.5288575119999999,1365.0,0.006767616456064862,0.008459520570081076,True,0.3317073170731708,Medium,Higher in MDD,True,6.3688890026849064e-06,6.7682955087403e-05,True,Left occipital scalp
17,Hjorth_Complexity_3,P3,Parietal,Parietal,Left,Hjorth_Complexity,0.009901019480571312,0.001953803673025556,0.751140472,0.16961725150000007,0.84896486,0.20393395299999995,691.0,0.007809237717333909,0.00918733849098107,True,-0.3258536585365853,Medium,Higher in HC,True,0.3887388047676163,0.31557768793061675,False,Left parietal scalp
12,Alpha_Band_psd_mean_0,Fp1,Prefrontal,Frontal,Left,Alpha_Band_psd_mean,0.014334043714702859,-0.0002886370119322298,0.7586171715000001,0.96222001525,0.449571988,0.48414218600000003,1348.0,0.01009771253028743,0.01009771253028743,True,0.31512195121951225,Medium,Higher in MDD,True,9.73918378340182e-09,1.2336808980581553e-05,True,Left prefrontal scalp
15,Alpha_Band_psd_variance_5,F7,Fronto-temporal,Frontal,Left,Alpha_Band_psd_variance,0.01096179271938166,0.0009510108993022145,0.7288122665000001,3.338437565,0.211959603,0.658943157,1350.0,0.009641778549939818,0.01009771253028743,True,0.3170731707317074,Medium,Higher in MDD,True,2.271586138469147e-09,2.0056804235857166e-10,True,Left fronto-temporal scalp
20,Wavelet_Energy_15,T6,Temporo-parietal,Temporal,Right,Wavelet_Energy,0.009342919913967669,0.0013008017696871763,4876651.177,4922043.175,3424312.158,3466085.392,1352.0,0.009204287979850416,0.01009771253028743,True,0.3190243902439025,Medium,Higher in MDD,True,0.0018191551115190137,0.04194443690177899,True,Right posterior temporal scalp
