Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Hjorth_Mobility_1,30,F3,Frontal,Frontal,Left,Left frontal scalp,Hjorth_Mobility
Hjorth_Complexity_1,31,F3,Frontal,Frontal,Left,Left frontal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_2,32,C3,Central,Parietal,Left,Left central scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_2,33,C3,Central,Parietal,Left,Left central scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_2,34,C3,Central,Parietal,Left,Left central scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_2,35,C3,Central,Parietal,Left,Left central scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_2,36,C3,Central,Parietal,Left,Left central scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_2,37,C3,Central,Parietal,Left,Left central scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_2,38,C3,Central,Parietal,Left,Left central scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_2,39,C3,Central,Parietal,Left,Left central scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_2,40,C3,Central,Parietal,Left,Left central scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_2,41,C3,Central,Parietal,Left,Left central scalp,Delta_Band_psd_variance
Fractal_Dimension_2,42,C3,Central,Parietal,Left,Left central scalp,Fractal_Dimension
Wavelet_Energy_2,43,C3,Central,Parietal,Left,Left central scalp,Wavelet_Energy
Spectral_Entropy_2,44,C3,Central,Parietal,Left,Left central scalp,Spectral_Entropy
Hjorth_Activity_2,45,C3,Central,Parietal,Left,Left central scalp,Hjorth_Activity
Hjorth_Mobility_2,46,C3,Central,Parietal,Left,Left central scalp,Hjorth_Mobility
Hjorth_Complexity_2,47,C3,Central,Parietal,Left,Left central scalp,Hjorth_Complexity
Alpha_Band_psd_mean_3,48,P3,Parietal,Parietal,Left,Left parietal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_3,49,P3,Parietal,Parietal,Left,Left parietal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_3,50,P3,Parietal,Parietal,Left,Left parietal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_3,51,P3,Parietal,Parietal,Left,Left parietal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_3,52,P3,Parietal,Parietal,Left,Left parietal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_3,53,P3,Parietal,Parietal,Left,Left parietal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_3,54,P3,Parietal,Parietal,Left,Left parietal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_3,55,P3,Parietal,Parietal,Left,Left parietal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_3,56,P3,Parietal,Parietal,Left,Left parietal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_3,57,P3,Parietal,Parietal,Left,Left parietal scalp,Delta_Band_psd_variance
Fractal_Dimension_3,58,P3,Parietal,Parietal,Left,Left parietal scalp,Fractal_Dimension
Wavelet_Energy_3,59,P3,Parietal,Parietal,Left,Left parietal scalp,Wavelet_Energy
Spectral_Entropy_3,60,P3,Parietal,Parietal,Left,Left parietal scalp,Spectral_Entropy
