Feature,CSV_Feature_Index,Electrode,Region,Lobe,Hemisphere,Scalp,Feature_Type
Hjorth_Activity_12,205,O2,Occipital,Occipital,Right,Right occipital scalp,Hjorth_Activity
Hjorth_Mobility_12,206,O2,Occipital,Occipital,Right,Right occipital scalp,Hjorth_Mobility
Hjorth_Complexity_12,207,O2,Occipital,Occipital,Right,Right occipital scalp,Hjorth_Complexity
Alpha_Band_psd_mean_13,208,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_13,209,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_13,210,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_13,211,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_13,212,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_13,213,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_13,214,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_13,215,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_13,216,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_13,217,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_13,218,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Fractal_Dimension
Wavelet_Energy_13,219,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Wavelet_Energy
Spectral_Entropy_13,220,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Spectral_Entropy
Hjorth_Activity_13,221,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Hjorth_Activity
Hjorth_Mobility_13,222,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Hjorth_Mobility
Hjorth_Complexity_13,223,F8,Fronto-temporal,Frontal,Right,Right fronto-temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_14,224,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_14,225,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_14,226,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_14,227,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_14,228,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_14,229,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_14,230,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_14,231,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_14,232,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_14,233,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_14,234,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Fractal_Dimension
Wavelet_Energy_14,235,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Wavelet_Energy
Spectral_Entropy_14,236,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Spectral_Entropy
Hjorth_Activity_14,237,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Hjorth_Activity
Hjorth_Mobility_14,238,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Hjorth_Mobility
Hjorth_Complexity_14,239,T4,Temporal,Temporal,Right,Right mid-temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_15,240,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_15,241,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_15,242,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_15,243,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_15,244,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_15,245,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_15,246,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Beta_Band_psd_variance
Gamma_Band_psd_variance_15,247,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Gamma_Band_psd_variance
Theta_Band_psd_variance_15,248,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Theta_Band_psd_variance
Delta_Band_psd_variance_15,249,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Delta_Band_psd_variance
Fractal_Dimension_15,250,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Fractal_Dimension
Wavelet_Energy_15,251,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Wavelet_Energy
Spectral_Entropy_15,252,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Spectral_Entropy
Hjorth_Activity_15,253,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Hjorth_Activity
Hjorth_Mobility_15,254,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Hjorth_Mobility
Hjorth_Complexity_15,255,T6,Temporo-parietal,Temporal,Right,Right posterior temporal scalp,Hjorth_Complexity
Alpha_Band_psd_mean_16,256,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Alpha_Band_psd_mean
Beta_Band_psd_mean_16,257,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Beta_Band_psd_mean
Gamma_Band_psd_mean_16,258,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Gamma_Band_psd_mean
Theta_Band_psd_mean_16,259,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Theta_Band_psd_mean
Delta_Band_psd_mean_16,260,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Delta_Band_psd_mean
Alpha_Band_psd_variance_16,261,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Alpha_Band_psd_variance
Beta_Band_psd_variance_16,262,Fz,Frontal midline,Frontal,Midline,Frontal midline scalp,Beta_Band_psd_variance
